12.000000 0.000000 6.000000 Li
1.000000 6.500000 6.000000 Vac
2.000000 6.000000 6.000000 Vac
3.000000 5.500000 6.000000 Vac
4.000000 5.000000 6.000000 Vac
5.000000 4.500000 6.000000 Li
6.000000 4.000000 6.000000 Vac
7.000000 3.500000 6.000000 Vac
8.000000 3.000000 6.000000 Vac
9.000000 2.500000 6.000000 Vac
10.000000 2.000000 6.000000 Vac
11.000000 1.500000 6.000000 Li
12.000000 1.000000 6.000000 Li
1.000000 7.500000 6.000000 Vac
2.000000 7.000000 6.000000 Vac
3.000000 6.500000 6.000000 Vac
4.000000 6.000000 6.000000 Vac
5.000000 5.500000 6.000000 Vac
6.000000 5.000000 6.000000 Li
7.000000 4.500000 6.000000 Vac
8.000000 4.000000 6.000000 Vac
9.000000 3.500000 6.000000 Vac
10.000000 3.000000 6.000000 Vac
11.000000 2.500000 6.000000 Vac
12.000000 2.000000 6.000000 Vac
1.000000 8.500000 6.000000 Vac
2.000000 8.000000 6.000000 Vac
3.000000 7.500000 6.000000 Vac
4.000000 7.000000 6.000000 Vac
5.000000 6.500000 6.000000 Vac
6.000000 6.000000 6.000000 Li
7.000000 5.500000 6.000000 Vac
8.000000 5.000000 6.000000 Vac
9.000000 4.500000 6.000000 Vac
10.000000 4.000000 6.000000 Vac
11.000000 3.500000 6.000000 Vac
12.000000 3.000000 6.000000 Vac
1.000000 9.500000 6.000000 Vac
2.000000 9.000000 6.000000 Vac
3.000000 8.500000 6.000000 Vac
4.000000 8.000000 6.000000 Vac
5.000000 7.500000 6.000000 Vac
6.000000 7.000000 6.000000 Li
7.000000 6.500000 6.000000 Vac
8.000000 6.000000 6.000000 Li
9.000000 5.500000 6.000000 Vac
10.000000 5.000000 6.000000 Vac
11.000000 4.500000 6.000000 Vac
12.000000 4.000000 6.000000 Vac
1.000000 10.500000 6.000000 Vac
2.000000 10.000000 6.000000 Li
3.000000 9.500000 6.000000 Vac
4.000000 9.000000 6.000000 Vac
5.000000 8.500000 6.000000 Vac
6.000000 8.000000 6.000000 Li
7.000000 7.500000 6.000000 Vac
8.000000 7.000000 6.000000 Vac
9.000000 6.500000 6.000000 Vac
10.000000 6.000000 6.000000 Vac
11.000000 5.500000 6.000000 Vac
12.000000 5.000000 6.000000 Vac
1.000000 0.500000 7.000000 Vac
2.000000 0.000000 7.000000 Vac
3.000000 -0.500000 7.000000 Vac
4.000000 -1.000000 7.000000 Vac
5.000000 -1.500000 7.000000 Vac
6.000000 -2.000000 7.000000 Vac
7.000000 -2.500000 7.000000 Vac
8.000000 -3.000000 7.000000 Li
9.000000 -3.500000 7.000000 Li
10.000000 -4.000000 7.000000 Li
11.000000 -4.500000 7.000000 Vac
12.000000 -5.000000 7.000000 Vac
1.000000 1.500000 7.000000 Vac
2.000000 1.000000 7.000000 Vac
3.000000 0.500000 7.000000 Vac
4.000000 0.000000 7.000000 Vac
5.000000 -0.500000 7.000000 Vac
6.000000 -1.000000 7.000000 Vac
7.000000 -1.500000 7.000000 Li
8.000000 -2.000000 7.000000 Vac
9.000000 -2.500000 7.000000 Li
10.000000 -3.000000 7.000000 Vac
11.000000 -3.500000 7.000000 Vac
12.000000 -4.000000 7.000000 Li
1.000000 2.500000 7.000000 Vac
2.000000 2.000000 7.000000 Vac
3.000000 1.500000 7.000000 Vac
4.000000 1.000000 7.000000 Vac
5.000000 0.500000 7.000000 Vac
6.000000 0.000000 7.000000 Vac
7.000000 -0.500000 7.000000 Vac
8.000000 -1.000000 7.000000 Vac
9.000000 -1.500000 7.000000 Li
10.000000 -2.000000 7.000000 Vac
11.000000 -2.500000 7.000000 Vac
12.000000 -3.000000 7.000000 Vac
1.000000 3.500000 7.000000 Li
2.000000 3.000000 7.000000 Vac
3.000000 2.500000 7.000000 Vac
4.000000 2.000000 7.000000 Li
5.000000 1.500000 7.000000 Vac
6.000000 1.000000 7.000000 Vac
7.000000 0.500000 7.000000 Vac
8.000000 0.000000 7.000000 Vac
9.000000 -0.500000 7.000000 Vac
10.000000 -1.000000 7.000000 Vac
11.000000 -1.500000 7.000000 Vac
12.000000 -2.000000 7.000000 Li
1.000000 4.500000 7.000000 Vac
2.000000 4.000000 7.000000 Vac
3.000000 3.500000 7.000000 Vac
4.000000 3.000000 7.000000 Vac
5.000000 2.500000 7.000000 Vac
6.000000 2.000000 7.000000 Li
7.000000 1.500000 7.000000 Vac
8.000000 1.000000 7.000000 Vac
9.000000 0.500000 7.000000 Vac
10.000000 0.000000 7.000000 Vac
11.000000 -0.500000 7.000000 Vac
12.000000 -1.000000 7.000000 Vac
1.000000 5.500000 7.000000 Vac
2.000000 5.000000 7.000000 Vac
3.000000 4.500000 7.000000 Vac
4.000000 4.000000 7.000000 Vac
5.000000 3.500000 7.000000 Vac
6.000000 3.000000 7.000000 Vac
7.000000 2.500000 7.000000 Vac
8.000000 2.000000 7.000000 Li
9.000000 1.500000 7.000000 Vac
10.000000 1.000000 7.000000 Vac
11.000000 0.500000 7.000000 Vac
12.000000 0.000000 7.000000 Vac
1.000000 6.500000 7.000000 Vac
2.000000 6.000000 7.000000 Li
3.000000 5.500000 7.000000 Li
4.000000 5.000000 7.000000 Vac
5.000000 4.500000 7.000000 Vac
6.000000 4.000000 7.000000 Vac
7.000000 3.500000 7.000000 Vac
8.000000 3.000000 7.000000 Li
9.000000 2.500000 7.000000 Li
10.000000 2.000000 7.000000 Vac
11.000000 1.500000 7.000000 Vac
12.000000 1.000000 7.000000 Vac
1.000000 7.500000 7.000000 Li
2.000000 7.000000 7.000000 Li
3.000000 6.500000 7.000000 Vac
4.000000 6.000000 7.000000 Vac
5.000000 5.500000 7.000000 Vac
6.000000 5.000000 7.000000 Vac
7.000000 4.500000 7.000000 Vac
8.000000 4.000000 7.000000 Vac
9.000000 3.500000 7.000000 Li
10.000000 3.000000 7.000000 Li
11.000000 2.500000 7.000000 Vac
12.000000 2.000000 7.000000 Vac
1.000000 8.500000 7.000000 Vac
2.000000 8.000000 7.000000 Li
3.000000 7.500000 7.000000 Vac
4.000000 7.000000 7.000000 Vac
5.000000 6.500000 7.000000 Vac
6.000000 6.000000 7.000000 Vac
7.000000 5.500000 7.000000 Vac
8.000000 5.000000 7.000000 Li
9.000000 4.500000 7.000000 Vac
10.000000 4.000000 7.000000 Li
11.000000 3.500000 7.000000 Li
12.000000 3.000000 7.000000 Vac
1.000000 9.500000 7.000000 Li
2.000000 9.000000 7.000000 Vac
3.000000 8.500000 7.000000 Vac
4.000000 8.000000 7.000000 Li
5.000000 7.500000 7.000000 Vac
6.000000 7.000000 7.000000 Vac
7.000000 6.500000 7.000000 Vac
8.000000 6.000000 7.000000 Vac
9.000000 5.500000 7.000000 Li
10.000000 5.000000 7.000000 Vac
11.000000 4.500000 7.000000 Vac
12.000000 4.000000 7.000000 Vac
1.000000 10.500000 7.000000 Vac
2.000000 10.000000 7.000000 Vac
3.000000 9.500000 7.000000 Vac
4.000000 9.000000 7.000000 Li
5.000000 8.500000 7.000000 Vac
6.000000 8.000000 7.000000 Vac
7.000000 7.500000 7.000000 Vac
8.000000 7.000000 7.000000 Vac
9.000000 6.500000 7.000000 Li
10.000000 6.000000 7.000000 Vac
11.000000 5.500000 7.000000 Vac
12.000000 5.000000 7.000000 Vac
1.000000 0.500000 8.000000 Li
2.000000 0.000000 8.000000 Vac
3.000000 -0.500000 8.000000 Li
4.000000 -1.000000 8.000000 Li
5.000000 -1.500000 8.000000 Vac
6.000000 -2.000000 8.000000 Vac
7.000000 -2.500000 8.000000 Vac
8.000000 -3.000000 8.000000 Vac
9.000000 -3.500000 8.000000 Vac
10.000000 -4.000000 8.000000 Vac
11.000000 -4.500000 8.000000 Vac
12.000000 -5.000000 8.000000 Li
1.000000 1.500000 8.000000 Li
2.000000 1.000000 8.000000 Vac
3.000000 0.500000 8.000000 Li
4.000000 0.000000 8.000000 Vac
5.000000 -0.500000 8.000000 Li
6.000000 -1.000000 8.000000 Vac
7.000000 -1.500000 8.000000 Vac
8.000000 -2.000000 8.000000 Vac
9.000000 -2.500000 8.000000 Vac
10.000000 -3.000000 8.000000 Vac
11.000000 -3.500000 8.000000 Vac
12.000000 -4.000000 8.000000 Vac
1.000000 2.500000 8.000000 Vac
2.000000 2.000000 8.000000 Vac
3.000000 1.500000 8.000000 Vac
4.000000 1.000000 8.000000 Vac
5.000000 0.500000 8.000000 Vac
6.000000 0.000000 8.000000 Vac
7.000000 -0.500000 8.000000 Li
8.000000 -1.000000 8.000000 Vac
9.000000 -1.500000 8.000000 Vac
10.000000 -2.000000 8.000000 Vac
11.000000 -2.500000 8.000000 Vac
12.000000 -3.000000 8.000000 Li
1.000000 3.500000 8.000000 Vac
2.000000 3.000000 8.000000 Li
3.000000 2.500000 8.000000 Li
4.000000 2.000000 8.000000 Vac
5.000000 1.500000 8.000000 Vac
6.000000 1.000000 8.000000 Vac
7.000000 0.500000 8.000000 Li
8.000000 0.000000 8.000000 Vac
9.000000 -0.500000 8.000000 Vac
10.000000 -1.000000 8.000000 Li
11.000000 -1.500000 8.000000 Vac
12.000000 -2.000000 8.000000 Vac
1.000000 4.500000 8.000000 Vac
2.000000 4.000000 8.000000 Vac
3.000000 3.500000 8.000000 Vac
4.000000 3.000000 8.000000 Li
5.000000 2.500000 8.000000 Vac
6.000000 2.000000 8.000000 Vac
7.000000 1.500000 8.000000 Vac
8.000000 1.000000 8.000000 Vac
9.000000 0.500000 8.000000 Li
10.000000 0.000000 8.000000 Vac
11.000000 -0.500000 8.000000 Li
12.000000 -1.000000 8.000000 Vac
1.000000 5.500000 8.000000 Vac
2.000000 5.000000 8.000000 Vac
3.000000 4.500000 8.000000 Vac
4.000000 4.000000 8.000000 Li
5.000000 3.500000 8.000000 Li
6.000000 3.000000 8.000000 Vac
7.000000 2.500000 8.000000 Vac
8.000000 2.000000 8.000000 Vac
9.000000 1.500000 8.000000 Vac
10.000000 1.000000 8.000000 Li
11.000000 0.500000 8.000000 Li
12.000000 0.000000 8.000000 Li
1.000000 6.500000 8.000000 Vac
2.000000 6.000000 8.000000 Vac
3.000000 5.500000 8.000000 Vac
4.000000 5.000000 8.000000 Vac
5.000000 4.500000 8.000000 Vac
6.000000 4.000000 8.000000 Li
7.000000 3.500000 8.000000 Li
8.000000 3.000000 8.000000 Vac
9.000000 2.500000 8.000000 Vac
10.000000 2.000000 8.000000 Li
11.000000 1.500000 8.000000 Li
12.000000 1.000000 8.000000 Vac
1.000000 7.500000 8.000000 Vac
2.000000 7.000000 8.000000 Vac
3.000000 6.500000 8.000000 Vac
4.000000 6.000000 8.000000 Li
5.000000 5.500000 8.000000 Li
6.000000 5.000000 8.000000 Vac
7.000000 4.500000 8.000000 Vac
8.000000 4.000000 8.000000 Vac
9.000000 3.500000 8.000000 Vac
10.000000 3.000000 8.000000 Vac
11.000000 2.500000 8.000000 Li
12.000000 2.000000 8.000000 Vac
1.000000 8.500000 8.000000 Vac
2.000000 8.000000 8.000000 Vac
3.000000 7.500000 8.000000 Vac
4.000000 7.000000 8.000000 Vac
5.000000 6.500000 8.000000 Li
6.000000 6.000000 8.000000 Vac
7.000000 5.500000 8.000000 Vac
8.000000 5.000000 8.000000 Vac
9.000000 4.500000 8.000000 Vac
10.000000 4.000000 8.000000 Vac
11.000000 3.500000 8.000000 Vac
12.000000 3.000000 8.000000 Vac
1.000000 9.500000 8.000000 Vac
2.000000 9.000000 8.000000 Vac
3.000000 8.500000 8.000000 Vac
4.000000 8.000000 8.000000 Vac
5.000000 7.500000 8.000000 Li
6.000000 7.000000 8.000000 Vac
7.000000 6.500000 8.000000 Li
8.000000 6.000000 8.000000 Vac
9.000000 5.500000 8.000000 Vac
10.000000 5.000000 8.000000 Vac
11.000000 4.500000 8.000000 Vac
12.000000 4.000000 8.000000 Vac
1.000000 10.500000 8.000000 Vac
2.000000 10.000000 8.000000 Vac
3.000000 9.500000 8.000000 Vac
4.000000 9.000000 8.000000 Vac
5.000000 8.500000 8.000000 Vac
6.000000 8.000000 8.000000 Li
7.000000 7.500000 8.000000 Vac
8.000000 7.000000 8.000000 Vac
9.000000 6.500000 8.000000 Vac
10.000000 6.000000 8.000000 Vac
11.000000 5.500000 8.000000 Vac
12.000000 5.000000 8.000000 Li
1.000000 0.500000 9.000000 Vac
2.000000 0.000000 9.000000 Vac
3.000000 -0.500000 9.000000 Vac
4.000000 -1.000000 9.000000 Vac
5.000000 -1.500000 9.000000 Vac
6.000000 -2.000000 9.000000 Vac
7.000000 -2.500000 9.000000 Li
8.000000 -3.000000 9.000000 Li
9.000000 -3.500000 9.000000 Li
10.000000 -4.000000 9.000000 Li
11.000000 -4.500000 9.000000 Vac
12.000000 -5.000000 9.000000 Vac
1.000000 1.500000 9.000000 Vac
2.000000 1.000000 9.000000 Vac
3.000000 0.500000 9.000000 Vac
4.000000 0.000000 9.000000 Vac
5.000000 -0.500000 9.000000 Vac
6.000000 -1.000000 9.000000 Vac
7.000000 -1.500000 9.000000 Vac
8.000000 -2.000000 9.000000 Vac
9.000000 -2.500000 9.000000 Li
10.000000 -3.000000 9.000000 Vac
11.000000 -3.500000 9.000000 Vac
12.000000 -4.000000 9.000000 Vac
1.000000 2.500000 9.000000 Vac
2.000000 2.000000 9.000000 Vac
3.000000 1.500000 9.000000 Vac
4.000000 1.000000 9.000000 Vac
5.000000 0.500000 9.000000 Vac
6.000000 0.000000 9.000000 Vac
7.000000 -0.500000 9.000000 Vac
8.000000 -1.000000 9.000000 Li
9.000000 -1.500000 9.000000 Vac
10.000000 -2.000000 9.000000 Vac
11.000000 -2.500000 9.000000 Li
12.000000 -3.000000 9.000000 Vac
1.000000 3.500000 9.000000 Li
2.000000 3.000000 9.000000 Vac
3.000000 2.500000 9.000000 Vac
4.000000 2.000000 9.000000 Vac
5.000000 1.500000 9.000000 Vac
6.000000 1.000000 9.000000 Li
7.000000 0.500000 9.000000 Vac
8.000000 0.000000 9.000000 Vac
9.000000 -0.500000 9.000000 Vac
10.000000 -1.000000 9.000000 Vac
11.000000 -1.500000 9.000000 Vac
12.000000 -2.000000 9.000000 Vac
1.000000 4.500000 9.000000 Vac
2.000000 4.000000 9.000000 Vac
3.000000 3.500000 9.000000 Vac
4.000000 3.000000 9.000000 Vac
5.000000 2.500000 9.000000 Vac
6.000000 2.000000 9.000000 Li
7.000000 1.500000 9.000000 Li
8.000000 1.000000 9.000000 Vac
9.000000 0.500000 9.000000 Vac
10.000000 0.000000 9.000000 Vac
11.000000 -0.500000 9.000000 Vac
12.000000 -1.000000 9.000000 Li
1.000000 5.500000 9.000000 Vac
2.000000 5.000000 9.000000 Li
3.000000 4.500000 9.000000 Vac
4.000000 4.000000 9.000000 Vac
5.000000 3.500000 9.000000 Vac
6.000000 3.000000 9.000000 Vac
7.000000 2.500000 9.000000 Vac
8.000000 2.000000 9.000000 Li
9.000000 1.500000 9.000000 Vac
10.000000 1.000000 9.000000 Vac
11.000000 0.500000 9.000000 Vac
12.000000 0.000000 9.000000 Vac
1.000000 6.500000 9.000000 Vac
2.000000 6.000000 9.000000 Vac
3.000000 5.500000 9.000000 Li
4.000000 5.000000 9.000000 Vac
5.000000 4.500000 9.000000 Vac
6.000000 4.000000 9.000000 Vac
7.000000 3.500000 9.000000 Vac
8.000000 3.000000 9.000000 Vac
9.000000 2.500000 9.000000 Vac
10.000000 2.000000 9.000000 Vac
11.000000 1.500000 9.000000 Vac
12.000000 1.000000 9.000000 Vac
1.000000 7.500000 9.000000 Vac
2.000000 7.000000 9.000000 Li
3.000000 6.500000 9.000000 Vac
4.000000 6.000000 9.000000 Vac
5.000000 5.500000 9.000000 Vac
6.000000 5.000000 9.000000 Vac
7.000000 4.500000 9.000000 Vac
8.000000 4.000000 9.000000 Vac
9.000000 3.500000 9.000000 Li
10.000000 3.000000 9.000000 Li
11.000000 2.500000 9.000000 Vac
12.000000 2.000000 9.000000 Vac
1.000000 8.500000 9.000000 Li
2.000000 8.000000 9.000000 Vac
3.000000 7.500000 9.000000 Li
4.000000 7.000000 9.000000 Vac
5.000000 6.500000 9.000000 Vac
6.000000 6.000000 9.000000 Vac
7.000000 5.500000 9.000000 Vac
8.000000 5.000000 9.000000 Li
9.000000 4.500000 9.000000 Vac
10.000000 4.000000 9.000000 Vac
11.000000 3.500000 9.000000 Vac
12.000000 3.000000 9.000000 Vac
1.000000 9.500000 9.000000 Li
2.000000 9.000000 9.000000 Vac
3.000000 8.500000 9.000000 Vac
4.000000 8.000000 9.000000 Vac
5.000000 7.500000 9.000000 Vac
6.000000 7.000000 9.000000 Vac
7.000000 6.500000 9.000000 Vac
8.000000 6.000000 9.000000 Vac
9.000000 5.500000 9.000000 Vac
10.000000 5.000000 9.000000 Vac
11.000000 4.500000 9.000000 Li
12.000000 4.000000 9.000000 Vac
1.000000 10.500000 9.000000 Vac
2.000000 10.000000 9.000000 Li
3.000000 9.500000 9.000000 Vac
4.000000 9.000000 9.000000 Vac
5.000000 8.500000 9.000000 Vac
6.000000 8.000000 9.000000 Vac
7.000000 7.500000 9.000000 Vac
8.000000 7.000000 9.000000 Vac
9.000000 6.500000 9.000000 Vac
10.000000 6.000000 9.000000 Li
11.000000 5.500000 9.000000 Vac
12.000000 5.000000 9.000000 Vac
1.000000 0.500000 10.000000 Li
2.000000 0.000000 10.000000 Vac
3.000000 -0.500000 10.000000 Li
4.000000 -1.000000 10.000000 Vac
5.000000 -1.500000 10.000000 Vac
6.000000 -2.000000 10.000000 Vac
7.000000 -2.500000 10.000000 Vac
8.000000 -3.000000 10.000000 Vac
9.000000 -3.500000 10.000000 Vac
10.000000 -4.000000 10.000000 Vac
11.000000 -4.500000 10.000000 Vac
12.000000 -5.000000 10.000000 Vac
1.000000 1.500000 10.000000 Vac
2.000000 1.000000 10.000000 Li
3.000000 0.500000 10.000000 Vac
4.000000 0.000000 10.000000 Li
5.000000 -0.500000 10.000000 Li
6.000000 -1.000000 10.000000 Li
7.000000 -1.500000 10.000000 Vac
8.000000 -2.000000 10.000000 Vac
9.000000 -2.500000 10.000000 Vac
10.000000 -3.000000 10.000000 Vac
11.000000 -3.500000 10.000000 Vac
12.000000 -4.000000 10.000000 Li
1.000000 2.500000 10.000000 Vac
2.000000 2.000000 10.000000 Vac
3.000000 1.500000 10.000000 Li
4.000000 1.000000 10.000000 Vac
5.000000 0.500000 10.000000 Li
6.000000 0.000000 10.000000 Vac
7.000000 -0.500000 10.000000 Li
8.000000 -1.000000 10.000000 Vac
9.000000 -1.500000 10.000000 Vac
10.000000 -2.000000 10.000000 Vac
11.000000 -2.500000 10.000000 Vac
12.000000 -3.000000 10.000000 Vac
1.000000 3.500000 10.000000 Vac
2.000000 3.000000 10.000000 Vac
3.000000 2.500000 10.000000 Vac
4.000000 2.000000 10.000000 Li
5.000000 1.500000 10.000000 Vac
6.000000 1.000000 10.000000 Vac
7.000000 0.500000 10.000000 Vac
8.000000 0.000000 10.000000 Vac
9.000000 -0.500000 10.000000 Vac
10.000000 -1.000000 10.000000 Li
11.000000 -1.500000 10.000000 Vac
12.000000 -2.000000 10.000000 Vac
1.000000 4.500000 10.000000 Vac
2.000000 4.000000 10.000000 Vac
3.000000 3.500000 10.000000 Vac
4.000000 3.000000 10.000000 Vac
5.000000 2.500000 10.000000 Vac
6.000000 2.000000 10.000000 Vac
7.000000 1.500000 10.000000 Vac
8.000000 1.000000 10.000000 Li
9.000000 0.500000 10.000000 Li
10.000000 0.000000 10.000000 Vac
11.000000 -0.500000 10.000000 Li
12.000000 -1.000000 10.000000 Vac
1.000000 5.500000 10.000000 Vac
2.000000 5.000000 10.000000 Vac
3.000000 4.500000 10.000000 Vac
4.000000 4.000000 10.000000 Li
5.000000 3.500000 10.000000 Vac
6.000000 3.000000 10.000000 Vac
7.000000 2.500000 10.000000 Vac
8.000000 2.000000 10.000000 Vac
9.000000 1.500000 10.000000 Li
10.000000 1.000000 10.000000 Li
11.000000 0.500000 10.000000 Li
12.000000 0.000000 10.000000 Vac
1.000000 6.500000 10.000000 Vac
2.000000 6.000000 10.000000 Vac
3.000000 5.500000 10.000000 Vac
4.000000 5.000000 10.000000 Li
5.000000 4.500000 10.000000 Vac
6.000000 4.000000 10.000000 Vac
7.000000 3.500000 10.000000 Vac
8.000000 3.000000 10.000000 Vac
9.000000 2.500000 10.000000 Vac
10.000000 2.000000 10.000000 Vac
11.000000 1.500000 10.000000 Li
12.000000 1.000000 10.000000 Li
1.000000 7.500000 10.000000 Vac
2.000000 7.000000 10.000000 Vac
3.000000 6.500000 10.000000 Vac
4.000000 6.000000 10.000000 Vac
5.000000 5.500000 10.000000 Li
6.000000 5.000000 10.000000 Vac
7.000000 4.500000 10.000000 Li
8.000000 4.000000 10.000000 Vac
9.000000 3.500000 10.000000 Vac
10.000000 3.000000 10.000000 Vac
11.000000 2.500000 10.000000 Vac
12.000000 2.000000 10.000000 Vac
1.000000 8.500000 10.000000 Vac
2.000000 8.000000 10.000000 Vac
3.000000 7.500000 10.000000 Li
4.000000 7.000000 10.000000 Li
5.000000 6.500000 10.000000 Vac
6.000000 6.000000 10.000000 Li
7.000000 5.500000 10.000000 Li
8.000000 5.000000 10.000000 Vac
9.000000 4.500000 10.000000 Vac
10.000000 4.000000 10.000000 Vac
11.000000 3.500000 10.000000 Vac
12.000000 3.000000 10.000000 Vac
1.000000 9.500000 10.000000 Vac
2.000000 9.000000 10.000000 Vac
3.000000 8.500000 10.000000 Vac
4.000000 8.000000 10.000000 Vac
5.000000 7.500000 10.000000 Li
6.000000 7.000000 10.000000 Vac
7.000000 6.500000 10.000000 Vac
8.000000 6.000000 10.000000 Vac
9.000000 5.500000 10.000000 Vac
10.000000 5.000000 10.000000 Vac
11.000000 4.500000 10.000000 Vac
12.000000 4.000000 10.000000 Vac
1.000000 10.500000 10.000000 Vac
2.000000 10.000000 10.000000 Vac
3.000000 9.500000 10.000000 Vac
4.000000 9.000000 10.000000 Li
5.000000 8.500000 10.000000 Li
6.000000 8.000000 10.000000 Vac
7.000000 7.500000 10.000000 Vac
8.000000 7.000000 10.000000 Vac
9.000000 6.500000 10.000000 Vac
10.000000 6.000000 10.000000 Vac
11.000000 5.500000 10.000000 Vac
12.000000 5.000000 10.000000 Vac
1.000000 0.500000 11.000000 Vac
2.000000 0.000000 11.000000 Vac
3.000000 -0.500000 11.000000 Vac
4.000000 -1.000000 11.000000 Vac
5.000000 -1.500000 11.000000 Vac
6.000000 -2.000000 11.000000 Vac
7.000000 -2.500000 11.000000 Li
8.000000 -3.000000 11.000000 Li
9.000000 -3.500000 11.000000 Vac
10.000000 -4.000000 11.000000 Li
11.000000 -4.500000 11.000000 Li
12.000000 -5.000000 11.000000 Vac
1.000000 1.500000 11.000000 Vac
2.000000 1.000000 11.000000 Vac
3.000000 0.500000 11.000000 Vac
4.000000 0.000000 11.000000 Vac
5.000000 -0.500000 11.000000 Vac
6.000000 -1.000000 11.000000 Vac
7.000000 -1.500000 11.000000 Vac
8.000000 -2.000000 11.000000 Li
9.000000 -2.500000 11.000000 Li
10.000000 -3.000000 11.000000 Li
11.000000 -3.500000 11.000000 Vac
12.000000 -4.000000 11.000000 Vac
1.000000 2.500000 11.000000 Vac
2.000000 2.000000 11.000000 Vac
3.000000 1.500000 11.000000 Vac
4.000000 1.000000 11.000000 Li
5.000000 0.500000 11.000000 Vac
6.000000 0.000000 11.000000 Vac
7.000000 -0.500000 11.000000 Vac
8.000000 -1.000000 11.000000 Vac
9.000000 -1.500000 11.000000 Vac
10.000000 -2.000000 11.000000 Vac
11.000000 -2.500000 11.000000 Vac
12.000000 -3.000000 11.000000 Vac
1.000000 3.500000 11.000000 Vac
2.000000 3.000000 11.000000 Li
3.000000 2.500000 11.000000 Li
4.000000 2.000000 11.000000 Vac
5.000000 1.500000 11.000000 Li
6.000000 1.000000 11.000000 Vac
7.000000 0.500000 11.000000 Vac
8.000000 0.000000 11.000000 Vac
9.000000 -0.500000 11.000000 Vac
10.000000 -1.000000 11.000000 Vac
11.000000 -1.500000 11.000000 Vac
12.000000 -2.000000 11.000000 Li
1.000000 4.500000 11.000000 Vac
2.000000 4.000000 11.000000 Vac
3.000000 3.500000 11.000000 Vac
4.000000 3.000000 11.000000 Li
5.000000 2.500000 11.000000 Li
6.000000 2.000000 11.000000 Vac
7.000000 1.500000 11.000000 Li
8.000000 1.000000 11.000000 Vac
9.000000 0.500000 11.000000 Vac
10.000000 0.000000 11.000000 Vac
11.000000 -0.500000 11.000000 Vac
12.000000 -1.000000 11.000000 Vac
1.000000 5.500000 11.000000 Li
2.000000 5.000000 11.000000 Vac
3.000000 4.500000 11.000000 Vac
4.000000 4.000000 11.000000 Vac
5.000000 3.500000 11.000000 Vac
6.000000 3.000000 11.000000 Li
7.000000 2.500000 11.000000 Li
8.000000 2.000000 11.000000 Vac
9.000000 1.500000 11.000000 Vac
10.000000 1.000000 11.000000 Vac
11.000000 0.500000 11.000000 Vac
12.000000 0.000000 11.000000 Vac
1.000000 6.500000 11.000000 Li
2.000000 6.000000 11.000000 Li
3.000000 5.500000 11.000000 Vac
4.000000 5.000000 11.000000 Vac
5.000000 4.500000 11.000000 Vac
6.000000 4.000000 11.000000 Vac
7.000000 3.500000 11.000000 Vac
8.000000 3.000000 11.000000 Vac
9.000000 2.500000 11.000000 Li
10.000000 2.000000 11.000000 Vac
11.000000 1.500000 11.000000 Vac
12.000000 1.000000 11.000000 Vac
1.000000 7.500000 11.000000 Li
2.000000 7.000000 11.000000 Li
3.000000 6.500000 11.000000 Vac
4.000000 6.000000 11.000000 Vac
5.000000 5.500000 11.000000 Vac
6.000000 5.000000 11.000000 Vac
7.000000 4.500000 11.000000 Vac
8.000000 4.000000 11.000000 Vac
9.000000 3.500000 11.000000 Vac
10.000000 3.000000 11.000000 Vac
11.000000 2.500000 11.000000 Li
12.000000 2.000000 11.000000 Vac
1.000000 8.500000 11.000000 Li
2.000000 8.000000 11.000000 Li
3.000000 7.500000 11.000000 Vac
4.000000 7.000000 11.000000 Vac
5.000000 6.500000 11.000000 Vac
6.000000 6.000000 11.000000 Vac
7.000000 5.500000 11.000000 Vac
8.000000 5.000000 11.000000 Vac
9.000000 4.500000 11.000000 Li
10.000000 4.000000 11.000000 Li
11.000000 3.500000 11.000000 Li
12.000000 3.000000 11.000000 Vac
1.000000 9.500000 11.000000 Li
2.000000 9.000000 11.000000 Li
3.000000 8.500000 11.000000 Vac
4.000000 8.000000 11.000000 Vac
5.000000 7.500000 11.000000 Vac
6.000000 7.000000 11.000000 Vac
7.000000 6.500000 11.000000 Vac
8.000000 6.000000 11.000000 Vac
9.000000 5.500000 11.000000 Vac
10.000000 5.000000 11.000000 Vac
11.000000 4.500000 11.000000 Li
12.000000 4.000000 11.000000 Li
1.000000 10.500000 11.000000 Vac
2.000000 10.000000 11.000000 Li
3.000000 9.500000 11.000000 Vac
4.000000 9.000000 11.000000 Vac
5.000000 8.500000 11.000000 Vac
6.000000 8.000000 11.000000 Li
7.000000 7.500000 11.000000 Vac
8.000000 7.000000 11.000000 Vac
9.000000 6.500000 11.000000 Li
10.000000 6.000000 11.000000 Li
11.000000 5.500000 11.000000 Li
12.000000 5.000000 11.000000 Vac
1.000000 0.500000 12.000000 Vac
2.000000 0.000000 12.000000 Li
3.000000 -0.500000 12.000000 Li
4.000000 -1.000000 12.000000 Vac
5.000000 -1.500000 12.000000 Vac
6.000000 -2.000000 12.000000 Vac
7.000000 -2.500000 12.000000 Vac
8.000000 -3.000000 12.000000 Vac
9.000000 -3.500000 12.000000 Vac
10.000000 -4.000000 12.000000 Vac
11.000000 -4.500000 12.000000 Vac
12.000000 -5.000000 12.000000 Li
1.000000 1.500000 12.000000 Li
2.000000 1.000000 12.000000 Vac
3.000000 0.500000 12.000000 Vac
4.000000 0.000000 12.000000 Vac
